Woreda,Kebele,Village Name,Name of water system,Latitude,Longitude,Elevation,Photo,Year of construction (EFY),on spot or have distribution,Number of water points,# Non functional water points,Total HH beneficiaries,#house hold connections,Type of water system,water source fenced,guard at source,Type of lifting device (on spot),Type of hand pump,Type of power source,Functionality Status,Has the system ever been maintained/Rehabilitated?,water quality test conducted regularly,Water quality complain from user community,What is the complain ?,Who manages the system?,Year of WASHCO established (EFY),Are all WASHCO members active?,Date of last woreda visit to the WASHCO (EFY)?,Was there WASHCO training?,Date of last WASHCO training (EFY),# of women WASHCO members,Does the WASHCO have bank account?,When was the bank account opened (EFY)?,the last audit conducted (EFY),Water fee collection,Fee collection Modality,Fee collected regularly,How many Birr per specified modality,
Mana,Baballa-Karraa,Ilike,core  Aba garo,7.753211667,36.84628667,1999,https://akvoflow-23.s3.amazonaws.com/images/7f71117c-c791-48de-a9a0-556325e0ae32.jpg,2009-06-20,On Spot,,,180,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Kamise-Warabaa,tuli,core sacco,7.736433333,36.83672333,2003,https://akvoflow-23.s3.amazonaws.com/images/64b6a6b7-9264-4c90-836c-9f25e0f63e0e.jpg,2008-09-12,On Spot,,,80,,Spring,No,No,Gravity,,,Functional,Yes,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,tuli,core gamade,7.742068333,36.83645,2004,https://akvoflow-23.s3.amazonaws.com/images/6104a7fe-7612-42b5-9fcf-ed9c8126664e.jpg,2007-10-19,On Spot,,,58,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,tuli,core bakke abayi,7.742925,36.83060833,1974,https://akvoflow-23.s3.amazonaws.com/images/1376b251-8039-40f0-a734-a53f63d33c9a.jpg,2010-09-25,On Spot,,,30,,Spring,No,No,Gravity,,,Functional,Yes,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,Tuli,core Qulat Aba gumbul,7.74623,36.83362667,2016,https://akvoflow-23.s3.amazonaws.com/images/343473d3-caca-40aa-9e14-037b8c63e033.jpg,2006-08-26,On Spot,,,60,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,Tuli,core qoye,7.7427,36.83988833,2016,https://akvoflow-23.s3.amazonaws.com/images/9fbf1eea-0e2e-488e-9d00-921fb0d65ea0.jpg,2005-03-10,On Spot,,,35,,Spring,No,No,Gravity,,,Non Functional,Yes,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,ilike,Core Aba diga,7.745085,36.85059333,2010,https://akvoflow-23.s3.amazonaws.com/images/ab611618-a9ca-4864-a9f9-184ccd0df04a.jpg,2014-09-12,On Spot,,,25,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,ilike,core Abba garo Aba wari,7.756178333,36.85919667,1887,https://akvoflow-23.s3.amazonaws.com/images/3da93251-fe07-4f11-8034-d77b40270c7f.jpg,2000-12-16,On Spot,,,60,,Spring,No,No,Gravity,,,Functional,Yes,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,buyyo,core she fati,7.757221667,36.86133833,671,https://akvoflow-23.s3.amazonaws.com/images/6bfe98ac-ca35-4b16-a49f-fd97ea1ca74d.jpg,2005-05-21,On Spot,,,80,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,buyyo,core Aba biya,7.760736667,36.86857167,2069,https://akvoflow-23.s3.amazonaws.com/images/0ac454b3-38ec-47f1-8eca-30c2f0707640.jpg,2006-07-15,On Spot,,,30,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,buyyo,core Aba bor,7.752161667,36.86527333,2038,https://akvoflow-23.s3.amazonaws.com/images/9a62b592-878d-4a31-bca3-7f0a39e417c6.jpg,2007-05-18,On Spot,,,80,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,camo sidise,core qawe,7.746431667,36.85727,2026,https://akvoflow-23.s3.amazonaws.com/images/4b7f60c0-9aa5-4ab7-a75f-be3af2c35ed4.jpg,2004-07-24,On Spot,,,35,,Spring,No,No,Gravity,,,Functional,Yes,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,cemo muja,botoro,7.73784,36.862885,2054,https://akvoflow-23.s3.amazonaws.com/images/eec424e0-2381-43ea-bdb1-10a0aeaf7bed.jpg,2008-08-30,On Spot,,,50,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,cemo muja,Core Aba garo,7.736358333,36.86257833,2077,https://akvoflow-23.s3.amazonaws.com/images/3faa8a1d-6833-4d02-bfdc-d7eb48f32748.jpg,2008-09-20,On Spot,,,63,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,cemo muja,core hajii,7.737088333,36.85746333,2070,https://akvoflow-23.s3.amazonaws.com/images/d961349c-b262-416f-a12c-07f40fe54c3d.jpg,2005-08-28,On Spot,,,100,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,cemo muja,core  bondi,7.731976667,36.85964,2044,https://akvoflow-23.s3.amazonaws.com/images/03be0d72-fceb-436a-9f80-b01f9519a208.jpg,2011-09-17,On Spot,,,30,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,sidise,core bontu,7.734993333,36.85513333,2040,https://akvoflow-23.s3.amazonaws.com/images/7deb460a-fb9e-4c20-ad5d-2b68c9759357.jpg,2003-03-07,On Spot,,,30,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,sidise,core Aba Raya,7.734385,36.85160667,2037,https://akvoflow-23.s3.amazonaws.com/images/2dd21c59-e078-49a0-806b-507387c2b08b.jpg,2003-07-20,On Spot,,,20,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,sidise,core lalo,7.727216667,36.851205,2053,https://akvoflow-23.s3.amazonaws.com/images/98bd558d-29b2-4f98-8f8a-106d15ccf854.jpg,2008-07-26,On Spot,,,60,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,sidise,core Aba gidi,7.726328333,36.84919,2046,https://akvoflow-23.s3.amazonaws.com/images/09b459e8-80cd-4c7f-aa70-02016ca997cf.jpg,2010-07-16,On Spot,,,25,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,sidise,core harbu,7.727663333,36.848485,2055,https://akvoflow-23.s3.amazonaws.com/images/0c53236b-7a76-454a-8b8c-2a701201f4f7.jpg,2002-08-25,On Spot,,,50,,Spring,No,No,Gravity,,,Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Karraa,Ilike,Pump,7.752236667,36.854175,2009,https://akvoflow-23.s3.amazonaws.com/images/70ee15d6-49cf-48b8-9146-982e5569bfbf.jpg,,On Spot,,,30,,Hand dug well,Yes,Yes,Hand pump,Afridev,Man Power,Functional,Yes,No,No,,No management,,No,,No,,,No,,,No,,No,,
Mana,Baballa-Kossaa,abayii,gavity,7.764105692,36.8353347,1997,https://akvoflow-23.s3.amazonaws.com/images/20a52111-3f28-44d7-9632-7796219fd4bb.jpg,2009-10-10,On Spot,,,45,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2009-10-11,Yes,2022-01-04,No,,3,No,,,No,,No,,
Mana,Baballa-Kossaa,kossaa,gravity,7.767575299,36.83377463,1990,,2004-11-06,On Spot,,,50,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2004-12-11,No,,No,,3,No,,,No,,No,,
Mana,Baballa-Kossaa,koossaa,gravity aba tamam,7.77755439,36.85550214,2179,https://akvoflow-23.s3.amazonaws.com/images/8502a4bc-fe2d-49f3-89ac-ff20b2ebcb71.jpg,2004-12-11,On Spot,,,125,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2004-12-24,Yes,2004-11-21,No,,3,No,,,No,,No,,
Mana,Baballa-Kossaa,shanii,gravity,7.775745131,36.84460931,2025,https://akvoflow-23.s3.amazonaws.com/images/19de2485-2479-4645-81be-4178c7a80310.jpg,2008-07-10,On Spot,,,35,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2008-09-27,Yes,,No,,3,No,,,No,,No,,
Mana,Baballa-Kossaa,shanii,gravity,7.786804237,36.84741979,2017,https://akvoflow-23.s3.amazonaws.com/images/b1f915cb-ebc6-412e-9e7b-8f01dae69b24.jpg,2010-11-12,On Spot,,,50,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2010-10-10,Yes,,No,,3,No,,,No,,No,,
Mana,Baballa-Kossaa,shanii,gravit,7.778071863,36.84980405,2074,https://akvoflow-23.s3.amazonaws.com/images/f88a24d4-5b61-4ec6-b40e-469a586fd578.jpg,2002-12-14,On Spot,,,45,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2002-11-14,Yes,,No,,3,No,,,No,,No,,
Mana,Baballa-Kossaa,garoo,gravity,7.773513946,36.86223446,2123,https://akvoflow-23.s3.amazonaws.com/images/11ea9851-8205-4152-b712-bb916e7dd7d9.jpg,2010-11-11,On Spot,,,35,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2010-09-07,No,,No,,3,No,,,No,,No,,
Mana,Baballa-Kossaa,kossaa,gravity,7.765063085,36.85588475,2072,https://akvoflow-23.s3.amazonaws.com/images/98f51011-89ee-4fc0-a7fa-a88f0e146710.jpg,1998-10-09,On Spot,,,50,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,1998-11-18,No,,No,,3,No,,,No,,No,,
Mana,Baballa-Kossaa,kossaa,gravity,7.76782278,36.86636447,2057,https://akvoflow-23.s3.amazonaws.com/images/68bc9e7d-c068-4a7a-88e5-0a6ebf450d8a.jpg,2002-12-08,On Spot,,,46,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2003-01-10,Yes,2020-03-12,No,,3,No,,,No,,No,,
Mana,Baballa-Kossaa,kossaa,gravity,7.767199333,36.86138803,2080,https://akvoflow-23.s3.amazonaws.com/images/150b6f91-9783-4ac3-8f15-9a3b290b79ec.jpg,2007-11-08,On Spot,,,40,,Spring,No,Yes,Gravity,,,Non Functional,No,No,No,,No management,,No,,No,,,No,,,No,,No,,
